,name,x1,x2,y1,y2,classname,image
20,1987.jpg,72,150,103,191,face_no_mask,"[[[127 127 117]
  [128 128 118]
  [126 123 116]
  ...
  [ 69  91 105]
  [ 56  75  89]
  [ 46  65  79]]

 [[ 76  76  66]
  [ 91  91  81]
  [114 111 104]
  ...
  [ 34  51  61]
  [ 36  50  59]
  [ 37  51  60]]

 [[ 34  34  24]
  [ 35  35  25]
  [ 42  39  32]
  ...
  [ 69  74  77]
  [ 74  78  81]
  [ 78  79  83]]

 ...

 [[ 65  62  47]
  [ 66  63  48]
  [ 65  63  48]
  ...
  [105  98  82]
  [112 105  87]
  [119 112  94]]

 [[ 63  60  45]
  [ 63  60  45]
  [ 62  60  45]
  ...
  [108 101  85]
  [114 107  89]
  [118 111  93]]

 [[ 64  61  46]
  [ 65  62  47]
  [ 64  62  47]
  ...
  [106  99  83]
  [107 100  82]
  [108 101  83]]]"
22,1987.jpg,764,138,794,169,face_no_mask,"[[[127 127 117]
  [128 128 118]
  [126 123 116]
  ...
  [ 69  91 105]
  [ 56  75  89]
  [ 46  65  79]]

 [[ 76  76  66]
  [ 91  91  81]
  [114 111 104]
  ...
  [ 34  51  61]
  [ 36  50  59]
  [ 37  51  60]]

 [[ 34  34  24]
  [ 35  35  25]
  [ 42  39  32]
  ...
  [ 69  74  77]
  [ 74  78  81]
  [ 78  79  83]]

 ...

 [[ 65  62  47]
  [ 66  63  48]
  [ 65  63  48]
  ...
  [105  98  82]
  [112 105  87]
  [119 112  94]]

 [[ 63  60  45]
  [ 63  60  45]
  [ 62  60  45]
  ...
  [108 101  85]
  [114 107  89]
  [118 111  93]]

 [[ 64  61  46]
  [ 65  62  47]
  [ 64  62  47]
  ...
  [106  99  83]
  [107 100  82]
  [108 101  83]]]"
23,4070.png,154,15,493,485,face_with_mask,"[[[248 247 245]
  [248 247 245]
  [248 247 245]
  ...
  [201 221 245]
  [201 221 245]
  [201 221 245]]

 [[248 247 245]
  [248 247 245]
  [248 247 245]
  ...
  [201 221 245]
  [201 221 245]
  [201 221 245]]

 [[248 247 245]
  [248 247 245]
  [248 247 245]
  ...
  [201 221 245]
  [201 221 245]
  [201 221 245]]

 ...

 [[ 24  28  39]
  [ 24  28  39]
  [ 28  32  43]
  ...
  [ 49  42  33]
  [ 51  44  34]
  [ 48  41  30]]

 [[ 28  32  43]
  [ 21  25  36]
  [ 25  29  40]
  ...
  [ 52  45  35]
  [ 50  44  32]
  [ 50  42  31]]

 [[ 27  31  42]
  [ 29  33  44]
  [ 19  23  34]
  ...
  [ 57  50  39]
  [ 54  47  35]
  [ 53  45  33]]]"
25,3754.png,538,51,692,257,face_with_mask,"[[[ 53  57  51]
  [ 53  57  51]
  [ 52  56  49]
  ...
  [186 173 157]
  [186 173 157]
  [186 173 157]]

 [[ 53  57  51]
  [ 53  57  51]
  [ 53  57  51]
  ...
  [186 173 157]
  [186 173 157]
  [186 173 157]]

 [[ 53  57  51]
  [ 53  57  51]
  [ 53  57  51]
  ...
  [186 173 157]
  [186 173 157]
  [186 173 157]]

 ...

 [[193 181 173]
  [193 181 173]
  [193 181 173]
  ...
  [  5   1   8]
  [  6   2   9]
  [  5   1   8]]

 [[243 231 223]
  [243 231 223]
  [243 231 223]
  ...
  [  5   1   8]
  [  5   1   8]
  [  7   3  10]]

 [[243 232 225]
  [243 232 225]
  [243 232 225]
  ...
  [  6   2   9]
  [  5   1   8]
  [  8   3  10]]]"
33,3673.png,119,26,389,379,face_with_mask,"[[[242 237 231]
  [244 238 232]
  [243 238 232]
  ...
  [255 255 253]
  [255 255 253]
  [255 255 253]]

 [[243 239 233]
  [245 241 235]
  [242 238 232]
  ...
  [255 255 253]
  [255 255 253]
  [255 255 253]]

 [[240 238 233]
  [249 246 241]
  [241 238 233]
  ...
  [255 255 253]
  [255 255 253]
  [255 255 253]]

 ...

 [[ 37  27  35]
  [ 31  21  30]
  [ 23  16  21]
  ...
  [ 59  48  52]
  [ 74  63  67]
  [ 86  75  80]]

 [[ 39  28  36]
  [ 33  23  32]
  [ 25  18  23]
  ...
  [ 57  46  50]
  [ 72  61  65]
  [ 87  76  79]]

 [[ 40  30  38]
  [ 34  24  33]
  [ 27  20  24]
  ...
  [ 60  49  53]
  [ 74  63  68]
  [ 86  75  78]]]"
35,1926.jpg,442,84,805,489,face_with_mask,"[[[225 198 203]
  [225 198 203]
  [225 198 203]
  ...
  [191 172 106]
  [191 171 108]
  [191 171 108]]

 [[226 199 204]
  [226 199 204]
  [226 199 204]
  ...
  [190 171 105]
  [192 171 108]
  [191 171 108]]

 [[227 200 205]
  [227 200 205]
  [227 200 205]
  ...
  [191 170 107]
  [194 170 110]
  [192 170 110]]

 ...

 [[ 77  79 118]
  [ 76  78 116]
  [ 76  76 114]
  ...
  [ 89  48  92]
  [ 89  48  92]
  [ 89  48  92]]

 [[ 79  79 117]
  [ 78  78 116]
  [ 77  75 114]
  ...
  [ 89  48  92]
  [ 89  48  92]
  [ 89  48  92]]

 [[ 79  79 117]
  [ 78  78 116]
  [ 77  75 112]
  ...
  [ 89  48  92]
  [ 89  48  92]
  [ 89  48  92]]]"
37,4650.png,524,287,652,384,face_with_mask,"[[[ 75  78  85]
  [ 74  77  84]
  [ 74  77  84]
  ...
  [188 185 176]
  [188 185 176]
  [188 185 176]]

 [[ 75  78  85]
  [ 74  77  84]
  [ 74  77  84]
  ...
  [188 185 176]
  [188 185 176]
  [188 185 176]]

 [[ 75  78  85]
  [ 74  77  84]
  [ 74  77  84]
  ...
  [188 185 176]
  [188 185 176]
  [188 185 176]]

 ...

 [[198 197 191]
  [196 196 190]
  [193 192 187]
  ...
  [ 91  90  80]
  [100 100  89]
  [106 106  96]]

 [[198 197 192]
  [196 196 190]
  [193 192 187]
  ...
  [ 88  88  78]
  [100  99  89]
  [107 107  97]]

 [[198 197 191]
  [196 195 189]
  [193 192 187]
  ...
  [ 87  87  77]
  [ 98  98  88]
  [107 107  97]]]"
38,4650.png,58,6,186,132,face_with_mask,"[[[ 75  78  85]
  [ 74  77  84]
  [ 74  77  84]
  ...
  [188 185 176]
  [188 185 176]
  [188 185 176]]

 [[ 75  78  85]
  [ 74  77  84]
  [ 74  77  84]
  ...
  [188 185 176]
  [188 185 176]
  [188 185 176]]

 [[ 75  78  85]
  [ 74  77  84]
  [ 74  77  84]
  ...
  [188 185 176]
  [188 185 176]
  [188 185 176]]

 ...

 [[198 197 191]
  [196 196 190]
  [193 192 187]
  ...
  [ 91  90  80]
  [100 100  89]
  [106 106  96]]

 [[198 197 192]
  [196 196 190]
  [193 192 187]
  ...
  [ 88  88  78]
  [100  99  89]
  [107 107  97]]

 [[198 197 191]
  [196 195 189]
  [193 192 187]
  ...
  [ 87  87  77]
  [ 98  98  88]
  [107 107  97]]]"
41,4650.png,251,36,286,76,face_with_mask,"[[[ 75  78  85]
  [ 74  77  84]
  [ 74  77  84]
  ...
  [188 185 176]
  [188 185 176]
  [188 185 176]]

 [[ 75  78  85]
  [ 74  77  84]
  [ 74  77  84]
  ...
  [188 185 176]
  [188 185 176]
  [188 185 176]]

 [[ 75  78  85]
  [ 74  77  84]
  [ 74  77  84]
  ...
  [188 185 176]
  [188 185 176]
  [188 185 176]]

 ...

 [[198 197 191]
  [196 196 190]
  [193 192 187]
  ...
  [ 91  90  80]
  [100 100  89]
  [106 106  96]]

 [[198 197 192]
  [196 196 190]
  [193 192 187]
  ...
  [ 88  88  78]
  [100  99  89]
  [107 107  97]]

 [[198 197 191]
  [196 195 189]
  [193 192 187]
  ...
  [ 87  87  77]
  [ 98  98  88]
  [107 107  97]]]"
44,3939.png,717,118,762,180,face_with_mask,"[[[185 184 179]
  [194 191 189]
  [186 185 182]
  ...
  [206 205 205]
  [207 206 206]
  [206 205 205]]

 [[155 156 150]
  [173 173 169]
  [197 198 194]
  ...
  [205 205 205]
  [205 205 205]
  [203 204 204]]

 [[119 119 116]
  [147 148 141]
  [158 159 153]
  ...
  [204 204 204]
  [204 204 204]
  [203 203 203]]

 ...

 [[144 176 106]
  [158 197 126]
  [118 163  95]
  ...
  [160 160 160]
  [163 163 163]
  [165 165 165]]

 [[ 88 114  48]
  [128 163  94]
  [124 168  99]
  ...
  [161 161 161]
  [164 164 164]
  [167 167 167]]

 [[ 62  91  29]
  [ 79 108  41]
  [121 157  87]
  ...
  [163 163 163]
  [160 160 160]
  [163 163 163]]]"
46,3939.png,352,101,409,173,face_no_mask,"[[[185 184 179]
  [194 191 189]
  [186 185 182]
  ...
  [206 205 205]
  [207 206 206]
  [206 205 205]]

 [[155 156 150]
  [173 173 169]
  [197 198 194]
  ...
  [205 205 205]
  [205 205 205]
  [203 204 204]]

 [[119 119 116]
  [147 148 141]
  [158 159 153]
  ...
  [204 204 204]
  [204 204 204]
  [203 203 203]]

 ...

 [[144 176 106]
  [158 197 126]
  [118 163  95]
  ...
  [160 160 160]
  [163 163 163]
  [165 165 165]]

 [[ 88 114  48]
  [128 163  94]
  [124 168  99]
  ...
  [161 161 161]
  [164 164 164]
  [167 167 167]]

 [[ 62  91  29]
  [ 79 108  41]
  [121 157  87]
  ...
  [163 163 163]
  [160 160 160]
  [163 163 163]]]"
52,3939.png,674,134,714,174,face_with_mask,"[[[185 184 179]
  [194 191 189]
  [186 185 182]
  ...
  [206 205 205]
  [207 206 206]
  [206 205 205]]

 [[155 156 150]
  [173 173 169]
  [197 198 194]
  ...
  [205 205 205]
  [205 205 205]
  [203 204 204]]

 [[119 119 116]
  [147 148 141]
  [158 159 153]
  ...
  [204 204 204]
  [204 204 204]
  [203 203 203]]

 ...

 [[144 176 106]
  [158 197 126]
  [118 163  95]
  ...
  [160 160 160]
  [163 163 163]
  [165 165 165]]

 [[ 88 114  48]
  [128 163  94]
  [124 168  99]
  ...
  [161 161 161]
  [164 164 164]
  [167 167 167]]

 [[ 62  91  29]
  [ 79 108  41]
  [121 157  87]
  ...
  [163 163 163]
  [160 160 160]
  [163 163 163]]]"
53,3939.png,88,12,160,114,face_with_mask,"[[[185 184 179]
  [194 191 189]
  [186 185 182]
  ...
  [206 205 205]
  [207 206 206]
  [206 205 205]]

 [[155 156 150]
  [173 173 169]
  [197 198 194]
  ...
  [205 205 205]
  [205 205 205]
  [203 204 204]]

 [[119 119 116]
  [147 148 141]
  [158 159 153]
  ...
  [204 204 204]
  [204 204 204]
  [203 203 203]]

 ...

 [[144 176 106]
  [158 197 126]
  [118 163  95]
  ...
  [160 160 160]
  [163 163 163]
  [165 165 165]]

 [[ 88 114  48]
  [128 163  94]
  [124 168  99]
  ...
  [161 161 161]
  [164 164 164]
  [167 167 167]]

 [[ 62  91  29]
  [ 79 108  41]
  [121 157  87]
  ...
  [163 163 163]
  [160 160 160]
  [163 163 163]]]"
54,3939.png,62,64,107,163,face_with_mask,"[[[185 184 179]
  [194 191 189]
  [186 185 182]
  ...
  [206 205 205]
  [207 206 206]
  [206 205 205]]

 [[155 156 150]
  [173 173 169]
  [197 198 194]
  ...
  [205 205 205]
  [205 205 205]
  [203 204 204]]

 [[119 119 116]
  [147 148 141]
  [158 159 153]
  ...
  [204 204 204]
  [204 204 204]
  [203 203 203]]

 ...

 [[144 176 106]
  [158 197 126]
  [118 163  95]
  ...
  [160 160 160]
  [163 163 163]
  [165 165 165]]

 [[ 88 114  48]
  [128 163  94]
  [124 168  99]
  ...
  [161 161 161]
  [164 164 164]
  [167 167 167]]

 [[ 62  91  29]
  [ 79 108  41]
  [121 157  87]
  ...
  [163 163 163]
  [160 160 160]
  [163 163 163]]]"
59,3939.png,670,100,704,138,face_no_mask,"[[[185 184 179]
  [194 191 189]
  [186 185 182]
  ...
  [206 205 205]
  [207 206 206]
  [206 205 205]]

 [[155 156 150]
  [173 173 169]
  [197 198 194]
  ...
  [205 205 205]
  [205 205 205]
  [203 204 204]]

 [[119 119 116]
  [147 148 141]
  [158 159 153]
  ...
  [204 204 204]
  [204 204 204]
  [203 203 203]]

 ...

 [[144 176 106]
  [158 197 126]
  [118 163  95]
  ...
  [160 160 160]
  [163 163 163]
  [165 165 165]]

 [[ 88 114  48]
  [128 163  94]
  [124 168  99]
  ...
  [161 161 161]
  [164 164 164]
  [167 167 167]]

 [[ 62  91  29]
  [ 79 108  41]
  [121 157  87]
  ...
  [163 163 163]
  [160 160 160]
  [163 163 163]]]"
60,4415.png,131,8,382,297,face_with_mask,"[[[ 24   8  11]
  [ 23   8  10]
  [ 23   8  10]
  ...
  [146  74  50]
  [145  73  49]
  [144  72  49]]

 [[ 24   8  11]
  [ 23   8  10]
  [ 23   8  10]
  ...
  [148  75  50]
  [147  74  49]
  [147  74  49]]

 [[ 24   8  11]
  [ 23   8  10]
  [ 23   8  10]
  ...
  [150  76  50]
  [149  76  50]
  [147  74  49]]

 ...

 [[160  95  77]
  [160  94  77]
  [159  93  74]
  ...
  [181  44  57]
  [179  42  56]
  [177  39  52]]

 [[133  66  49]
  [131  63  47]
  [129  59  43]
  ...
  [178  46  59]
  [176  45  57]
  [173  42  54]]

 [[132  63  46]
  [129  58  42]
  [124  53  37]
  ...
  [176  51  64]
  [170  45  58]
  [166  43  55]]]"
62,3283.png,45,27,425,476,face_with_mask,"[[[173 172 113]
  [170 168 109]
  [172 167 110]
  ...
  [148 145  68]
  [132 131  60]
  [122 121  53]]

 [[177 175 117]
  [174 172 113]
  [175 170 111]
  ...
  [145 143  66]
  [131 130  57]
  [116 115  47]]

 [[179 178 120]
  [177 176 116]
  [177 173 113]
  ...
  [140 137  63]
  [122 119  50]
  [103 101  38]]

 ...

 [[155 105  66]
  [151 101  65]
  [147  98  63]
  ...
  [209  89  47]
  [210  91  49]
  [208  88  46]]

 [[159 110  67]
  [155 106  64]
  [154 106  66]
  ...
  [208  90  48]
  [208  91  48]
  [210  92  49]]

 [[165 117  69]
  [158 110  64]
  [161 114  68]
  ...
  [207  91  48]
  [207  91  48]
  [211  95  52]]]"
64,3283.png,4,334,162,653,face_no_mask,"[[[173 172 113]
  [170 168 109]
  [172 167 110]
  ...
  [148 145  68]
  [132 131  60]
  [122 121  53]]

 [[177 175 117]
  [174 172 113]
  [175 170 111]
  ...
  [145 143  66]
  [131 130  57]
  [116 115  47]]

 [[179 178 120]
  [177 176 116]
  [177 173 113]
  ...
  [140 137  63]
  [122 119  50]
  [103 101  38]]

 ...

 [[155 105  66]
  [151 101  65]
  [147  98  63]
  ...
  [209  89  47]
  [210  91  49]
  [208  88  46]]

 [[159 110  67]
  [155 106  64]
  [154 106  66]
  ...
  [208  90  48]
  [208  91  48]
  [210  92  49]]

 [[165 117  69]
  [158 110  64]
  [161 114  68]
  ...
  [207  91  48]
  [207  91  48]
  [211  95  52]]]"
65,2588.png,153,196,407,588,face_with_mask,"[[[181 179 174]
  [180 179 174]
  [180 179 174]
  ...
  [170 163 154]
  [170 163 154]
  [169 162 154]]

 [[180 177 173]
  [178 177 172]
  [177 176 171]
  ...
  [170 163 154]
  [170 163 155]
  [169 162 154]]

 [[180 177 174]
  [179 178 173]
  [179 178 173]
  ...
  [170 163 155]
  [168 161 153]
  [169 162 154]]

 ...

 [[ 54  65  92]
  [ 53  64  92]
  [ 53  64  92]
  ...
  [ 37  44  58]
  [ 38  45  63]
  [ 42  49  67]]

 [[ 55  66  93]
  [ 53  64  93]
  [ 53  64  92]
  ...
  [ 40  46  61]
  [ 36  43  62]
  [ 40  47  65]]

 [[ 54  65  92]
  [ 51  62  90]
  [ 49  60  88]
  ...
  [ 38  44  59]
  [ 40  47  65]
  [ 38  45  63]]]"
68,2618.png,348,3,518,223,face_with_mask,"[[[35 24  8]
  [37 26  9]
  [37 26  9]
  ...
  [26 17 10]
  [25 17 11]
  [25 18 11]]

 [[35 24  8]
  [35 24  8]
  [35 24  8]
  ...
  [26 19 12]
  [26 19 12]
  [26 19 12]]

 [[35 24  8]
  [35 24  8]
  [35 24  8]
  ...
  [26 19 12]
  [26 19 12]
  [26 19 12]]

 ...

 [[57 46 50]
  [60 50 53]
  [60 50 53]
  ...
  [ 6  3  2]
  [ 7  4  4]
  [ 6  3  2]]

 [[54 43 46]
  [55 44 47]
  [56 45 48]
  ...
  [ 7  4  4]
  [ 9  5  5]
  [ 9  5  5]]

 [[55 43 46]
  [54 41 44]
  [55 43 45]
  ...
  [ 7  4  4]
  [10  6  6]
  [10  6  6]]]"
70,4394.png,6,86,336,481,face_with_mask,"[[[ 81  77  77]
  [ 81  77  77]
  [ 82  78  77]
  ...
  [207 178 165]
  [209 179 167]
  [211 183 170]]

 [[ 81  77  77]
  [ 81  77  77]
  [ 82  78  78]
  ...
  [206 177 167]
  [208 179 168]
  [210 182 169]]

 [[ 81  77  77]
  [ 81  78  77]
  [ 82  78  78]
  ...
  [205 177 168]
  [207 179 168]
  [208 181 168]]

 ...

 [[244 212 184]
  [244 212 184]
  [245 213 185]
  ...
  [ 67  55  70]
  [ 66  54  69]
  [ 64  53  66]]

 [[244 212 184]
  [244 212 184]
  [245 213 185]
  ...
  [ 67  55  70]
  [ 67  55  70]
  [ 65  54  68]]

 [[244 212 184]
  [244 212 184]
  [245 213 185]
  ...
  [ 68  56  71]
  [ 68  56  71]
  [ 67  55  69]]]"
72,6358.jpg,460,67,671,369,face_no_mask,"[[[118 141  37]
  [117 140  36]
  [115 137  36]
  ...
  [137 126  60]
  [139 129  60]
  [141 131  62]]

 [[123 146  42]
  [122 145  41]
  [120 142  41]
  ...
  [137 126  60]
  [141 130  64]
  [145 135  66]]

 [[128 151  45]
  [127 150  44]
  [126 149  45]
  ...
  [134 123  57]
  [141 130  64]
  [146 135  69]]

 ...

 [[164 103  75]
  [167 106  78]
  [169 108  80]
  ...
  [ 48  65  10]
  [ 56  71  16]
  [ 61  76  21]]

 [[168 114  90]
  [174 120  96]
  [181 127 103]
  ...
  [ 42  59   5]
  [ 52  66  13]
  [ 58  73  18]]

 [[223 175 153]
  [231 183 161]
  [238 190 168]
  ...
  [ 37  54   2]
  [ 48  62  11]
  [ 54  68  15]]]"
73,6358.jpg,118,150,418,432,face_no_mask,"[[[118 141  37]
  [117 140  36]
  [115 137  36]
  ...
  [137 126  60]
  [139 129  60]
  [141 131  62]]

 [[123 146  42]
  [122 145  41]
  [120 142  41]
  ...
  [137 126  60]
  [141 130  64]
  [145 135  66]]

 [[128 151  45]
  [127 150  44]
  [126 149  45]
  ...
  [134 123  57]
  [141 130  64]
  [146 135  69]]

 ...

 [[164 103  75]
  [167 106  78]
  [169 108  80]
  ...
  [ 48  65  10]
  [ 56  71  16]
  [ 61  76  21]]

 [[168 114  90]
  [174 120  96]
  [181 127 103]
  ...
  [ 42  59   5]
  [ 52  66  13]
  [ 58  73  18]]

 [[223 175 153]
  [231 183 161]
  [238 190 168]
  ...
  [ 37  54   2]
  [ 48  62  11]
  [ 54  68  15]]]"
76,2407.png,194,10,555,514,face_with_mask,"[[[ 71  70  66]
  [ 71  70  66]
  [ 71  70  66]
  ...
  [102 104  90]
  [102 104  90]
  [102 104  90]]

 [[ 71  70  66]
  [ 71  70  66]
  [ 71  70  66]
  ...
  [102 104  90]
  [102 104  90]
  [102 104  90]]

 [[ 71  70  66]
  [ 71  70  66]
  [ 71  70  66]
  ...
  [102 104  90]
  [102 104  90]
  [102 104  90]]

 ...

 [[117 111 121]
  [109 103 113]
  [103  97 107]
  ...
  [117 116 130]
  [113 112 126]
  [117 116 130]]

 [[118 112 122]
  [111 105 115]
  [105  99 109]
  ...
  [118 117 131]
  [115 114 128]
  [119 118 132]]

 [[119 113 123]
  [113 107 117]
  [108 102 112]
  ...
  [120 119 133]
  [118 117 131]
  [122 121 135]]]"
